Gene_ID,t_statistic,p_value,Adjusted_p_value,log2_fold_change
ENSG00000229558,1.3491341627715892,0.1945866440175645,1.0,0.360873288882419
ENSG00000232977,-0.4234069820487868,0.6770396486820724,1.0,-0.048873138075377076
ENSG00000227893,0.11526172348913342,0.9098140037719219,1.0,0.011365258381985413
ENSG00000238230,2.1666455526384714,0.046773882568620494,1.0,0.36351891541572584
ENSG00000260962,2.1108983910154846,0.05197754776045742,1.0,0.4319546813132931
ENSG00000228741,0.07820760715912257,0.9389092827089556,1.0,0.022667128564841155
ENSG00000247400,-0.29122735101995967,0.7738213773793776,1.0,-0.02048932111227162
ENSG00000261498,0.5974078070791176,0.5576311586498495,1.0,0.14670596028941701
ENSG00000243300,1.150924683962644,0.26903051042438997,1.0,0.33962554102447357
ENSG00000233124,0.3892494720807615,0.7022493210052566,1.0,0.07800251200127316
ENSG00000226134,1.4638501094227998,0.16387561365565362,1.0,0.16992500144231237
ENSG00000234056,0.8429542551610907,0.40833935459269755,1.0,0.21598160463765573
ENSG00000260509,0.09399422972965094,0.9263413628090189,1.0,0.03498210722658805
ENSG00000228889,0.04304865019992518,0.966129444678067,1.0,0.0034424005153695122
ENSG00000234168,1.8605210188381267,0.08253070634696223,1.0,0.2479275134435855
ENSG00000229609,-0.6030348119992963,0.5544259940256953,1.0,-0.16599901024702693
ENSG00000260704,0.6171924037418172,0.5457600827388263,1.0,0.06745615350675906
ENSG00000224329,-0.07709568401400516,0.9395176573959505,1.0,-0.02747693732400416
ENSG00000243319,-0.38066992426770274,0.7071569281835697,1.0,-0.06601653603953353
ENSG00000122043,-0.4472135954999579,0.6636979556894129,1.0,-0.08246216019197299
ENSG00000266505,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000224511,-1.006180711129814,0.3253766817932765,1.0,-0.16258181994060403
ENSG00000232117,0.5619121655187393,0.5807399868249847,1.0,0.12174945941175783
ENSG00000236463,0.7923503755233715,0.43951938993757445,1.0,0.19971251421435018
ENSG00000234551,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000238121,0.9513871593196789,0.35174402276455974,1.0,0.11315910564812146
ENSG00000225039,2.531621837807887,0.023020997330208428,1.0,0.4319546813132931
ENSG00000233532,-2.2880662393625175,0.03299113036274827,1.0,-0.4234113986772749
ENSG00000230156,-2.5208014328189954,0.03024787653272832,1.0,-0.6276683247462416
ENSG00000237879,-0.41871671944121686,0.6822010488860142,1.0,-0.05936768383907103
ENSG00000236094,-0.6771375664093632,0.51236902081415,1.0,-0.15200309344504995
ENSG00000223617,0.8209630615513531,0.42323500257968805,1.0,0.23651782562044774
ENSG00000230233,1.6766928290398626,0.11431334307888785,1.0,0.5263439318833514
ENSG00000236053,1.2895752179413742,0.21763331923139803,1.0,0.2640338710241623
ENSG00000231428,-1.0702591020190138,0.31206667253444303,1.0,-0.23446525363702297
ENSG00000232193,-0.12621443725392878,0.9012310678542612,1.0,-0.0302536340332921
ENSG00000235965,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000259831,0.5619121655187393,0.5807399868249847,1.0,0.12174945941175783
ENSG00000233480,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000225760,0.08725051635513284,0.9317199953040736,1.0,0.02580204442889432
ENSG00000233236,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000225870,1.5521924828776386,0.13912295675197126,1.0,0.42081596405392513
ENSG00000226968,-1.5275252316519468,0.17047066078705375,1.0,-0.3219280948873623
ENSG00000226903,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000224924,0.22748816515685172,0.8227593241850204,1.0,0.08193762975459126
ENSG00000260385,0.5619121655187393,0.5807399868249847,1.0,0.12174945941175783
ENSG00000260102,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000234730,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000260343,0.9905232007871422,0.333624135504041,1.0,0.3130031961267985
ENSG00000223626,0.9965627305330454,0.3430737777999735,1.0,0.17431715017411892
ENSG00000267868,2.375480879777874,0.030694992267089556,1.0,0.49713082382139934
ENSG00000233997,-0.12621443725392878,0.9012310678542612,1.0,-0.0302536340332921
ENSG00000233215,0.3227122276256335,0.7501866810273219,1.0,0.0505334647458881
ENSG00000184856,1.4228073589608385,0.1752559325617129,1.0,0.21606387213313435
ENSG00000227911,-0.4711468796164,0.6434083171586205,1.0,-0.11131777588324963
ENSG00000230490,-0.16377340625876988,0.8714828358786639,1.0,-0.02404142785081585
ENSG00000226921,-0.4472135954999579,0.6636979556894129,1.0,-0.08246216019197299
ENSG00000234535,-1.9275129554817474,0.06698617745942725,1.0,-0.3051338152036284
ENSG00000232986,0.3300114938626314,0.7452511035146849,1.0,0.08201615832807618
ENSG00000229373,-1.8082854292869879,0.10081481018420624,1.0,-0.4150374992788438
ENSG00000215405,1.0854404380895462,0.2937845248635363,1.0,0.111378793268829
ENSG00000225179,1.4228073589608385,0.1752559325617129,1.0,0.21606387213313435
ENSG00000260910,0.9936997031339524,0.33315836585648684,1.0,0.23112131690669327
ENSG00000226043,-0.5657719354846764,0.5813500865008274,1.0,-0.1455220048286407
ENSG00000261728,1.0300049588988232,0.31542920649809325,1.0,0.36325815460993527
ENSG00000268343,1.0,0.3331701359154763,1.0,0.05180384502446517
ENSG00000234034,0.10331518978956888,0.9190451140238969,1.0,0.030901673209935282
ENSG00000230390,-0.447213595499958,0.6636979556894129,1.0,-0.12450243428381783
ENSG00000230972,-0.32517715366993755,0.7504348733879506,1.0,-0.07400058144377693
ENSG00000223685,0.08184274637829424,0.9357266920655949,1.0,0.02153308199383865
ENSG00000228592,-0.7894752962707434,0.4423270056465822,1.0,-0.24250700839475076
ENSG00000138593,0.3165149936191339,0.7546744782742056,1.0,0.018583016459529905
ENSG00000230710,0.20500272949984324,0.8403571491697991,1.0,0.05854645567095479
ENSG00000268531,1.0,0.3331701359154763,1.0,0.05180384502446517
ENSG00000230058,2.1666455526384714,0.046773882568620494,1.0,0.36351891541572584
ENSG00000215483,0.276653999361023,0.7868098109216317,1.0,0.08275009922919946
ENSG00000233917,1.169484407240509,0.25504789660627475,1.0,0.3377209816940542
ENSG00000166157,1.1600924565793875,0.26202492877607647,1.0,0.4575322695034194
ENSG00000227716,1.1032478963234444,0.2898622886050107,1.0,0.24641386924790154
ENSG00000231986,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000235564,-0.16263971433137767,0.8728810639742677,1.0,-0.03365464808199515
ENSG00000226996,-0.18076136889774835,0.8582164347162051,1.0,-0.03112461480943464
ENSG00000264695,-0.4472135954999579,0.6636979556894129,1.0,-0.08246216019197299
ENSG00000224018,0.10331518978956888,0.9190451140238969,1.0,0.030901673209935282
ENSG00000224832,1.3153783857541919,0.2030736433861222,1.0,0.42521608991573134
ENSG00000237484,0.7350133200974789,0.4712790507317344,1.0,0.08804424447511877
ENSG00000265485,-0.07989397862298073,0.9371723907173992,1.0,-0.024407188844048282
ENSG00000265552,0.9999999999999999,0.3331701359154764,1.0,0.13627035336031715
ENSG00000233821,0.01682935339907315,0.9867662975946829,1.0,0.0047392178595182695
ENSG00000263862,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000233725,-0.20011919933551583,0.84461274367015,1.0,-0.05487380322285427
ENSG00000269011,-0.34719883292479825,0.7326194086751567,1.0,-0.04384256375568341
ENSG00000168675,-0.15265509495636656,0.8802253266884825,1.0,-0.014615928397007523
ENSG00000226519,0.0,1.0,1.0,0.0
ENSG00000265369,0.3168471474521189,0.7546759660293922,1.0,0.020717172424156445
ENSG00000230731,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000263382,0.5619121655187393,0.5807399868249847,1.0,0.12174945941175783
ENSG00000237361,0.06995732323289518,0.9451782622603611,1.0,0.021495752184986457
ENSG00000265374,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000188992,0.3892494720807615,0.7022493210052566,1.0,0.07800251200127316
ENSG00000235097,1.1218035584927113,0.28511931227445186,1.0,0.21034042086167942
ENSG00000185272,0.06980928375376183,0.945118637298279,1.0,0.008740136254819805
ENSG00000182974,0.0,1.0,1.0,0.0
ENSG00000226983,-0.17639718166431245,0.8625912363333235,1.0,-0.04804568647065943
ENSG00000183706,1.9760988084731217,0.06683287980693074,1.0,0.4740722345935741
ENSG00000227090,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000244278,1.0809006669541588,0.291558444176489,1.0,0.2620296798709808
ENSG00000155304,0.15481540585097572,0.8787267961520746,1.0,0.012386676572980843
ENSG00000228886,3.677430100812994,0.0014139526685500194,1.0,0.8061977921833501
ENSG00000251015,-0.49413389388760126,0.6280750075528285,1.0,-0.12018632414542262
ENSG00000197414,0.09282323047882376,0.9272529652220989,1.0,0.00813166513128721
ENSG00000232512,-0.15248626558749603,0.8808807774706834,1.0,-0.036249914855210875
ENSG00000223870,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000222042,0.6431322047715029,0.5268458761885526,1.0,0.1820999872591792
ENSG00000261097,1.4638501094227998,0.16387561365565362,1.0,0.16992500144231237
ENSG00000166200,0.17599185317636054,0.862569022138574,1.0,0.01860483709662146
ENSG00000155307,0.6077303266112856,0.5509949431480444,1.0,0.12818035158866398
ENSG00000243440,-0.3817556117972216,0.7097152728800609,1.0,-0.12529780421395442
ENSG00000231817,-0.27883399647395596,0.7850357511343351,1.0,-0.09657105710568673
ENSG00000228573,1.1859472763213101,0.25476390052916315,1.0,0.3566521989905521
ENSG00000153575,0.14135348048839189,0.8889076481800533,1.0,0.008457479605134217
ENSG00000234689,0.9999999999999999,0.3331701359154764,1.0,0.13627035336031715
ENSG00000260388,0.4514067161749188,0.6566264592939709,1.0,0.03412337733836004
ENSG00000231473,2.111582751569742,0.0472510829923053,1.0,0.4086188943052143
ENSG00000264151,0.8224452570040417,0.4196920433223629,1.0,0.25801403844895676
ENSG00000233456,0.21649280182286781,0.8310797534205709,1.0,0.04613887069082192
ENSG00000180530,0.21420782540811714,0.8323935114179574,1.0,0.011180615932327276
ENSG00000233610,-0.390708514462095,0.7018904250236069,1.0,-0.13982062906950218
ENSG00000264790,-1.6276206609831614,0.12410009499478687,1.0,-0.3887732400995345
ENSG00000137824,-0.21348484099881704,0.8330337825377059,1.0,-0.012673168798275675
ENSG00000259458,0.7878724145411521,0.4396769805763797,1.0,0.2300700178991309
ENSG00000265980,0.025344409660581595,0.9800842805033352,1.0,0.007339273851261594
ENSG00000264587,0.7094352658416614,0.48999763663362106,1.0,0.22681024726803528
ENSG00000261521,1.092761041623418,0.29038138363201116,1.0,0.2905787480205426
ENSG00000185433,0.7112768347077957,0.48609843576254463,1.0,0.24719442792198004
ENSG00000234883,0.41197063852776583,0.6847170134236145,1.0,0.09617211277146698
ENSG00000266521,0.0,1.0,1.0,0.0
ENSG00000229323,0.0,1.0,1.0,0.0
ENSG00000137880,-0.22158919168320282,0.8272167599412514,1.0,-0.01603510754492348
ENSG00000229025,-0.06045996825682791,0.9525369515725994,1.0,-0.021736364286773658
ENSG00000104129,-0.44593480943676406,0.6600033337107767,1.0,-0.021216853285812277
ENSG00000177150,0.36791650385953156,0.7169886486386978,1.0,0.029420127603896278
ENSG00000155313,-0.09802042675207323,0.9228525401341039,1.0,-0.010315255211901467
ENSG00000231236,1.9331522620117214,0.06646762211655081,1.0,0.7127398796001739
ENSG00000236332,0.5549034948196396,0.5856825892752865,1.0,0.13750352374993502
ENSG00000226792,0.7194735413207054,0.4864358633919935,1.0,0.19007540324872693
ENSG00000101638,0.029440491530216745,0.976864828373825,1.0,0.006500158908657268
ENSG00000232560,-0.137566394865053,0.8927173675230174,1.0,-0.04345561939338261
ENSG00000154639,-0.34249397191509856,0.7357008501806119,1.0,-0.01789944115785956
ENSG00000101654,0.10075235327399931,0.9207424217991815,1.0,0.007775974471091118
ENSG00000078043,0.37690037424290895,0.7105412088621583,1.0,0.040416621706385825
ENSG00000156958,-0.8315811621074911,0.41464318216976925,1.0,-0.037837040005344054
ENSG00000154640,0.1777584012102355,0.8607837275880187,1.0,0.013444617343396522
ENSG00000188277,-0.6088399133597775,0.5513199866344902,1.0,-0.17312307956783612
ENSG00000251161,-0.2732549059416043,0.7886903470517086,1.0,-0.058053707753980346
ENSG00000234083,1.097705165042403,0.2884786812782665,1.0,0.24163035374291347
ENSG00000178457,-0.45056646123436334,0.6570269722927785,1.0,-0.07905329477118334
ENSG00000158901,0.149819495245656,0.8829373704777439,1.0,0.016913534458048284
ENSG00000140416,-0.6866472630511463,0.5006157653067085,1.0,-0.030748936459283206
ENSG00000180205,-1.0702591020190138,0.31206667253444303,1.0,-0.23446525363702297
ENSG00000154642,-0.3903719288427053,0.700125071440723,1.0,-0.037390221745195296
ENSG00000267642,0.0,1.0,1.0,0.0
ENSG00000268573,-0.9309819969217683,0.3620986918465965,1.0,-0.08745403905101073
ENSG00000267583,0.5850451824610361,0.5645210427964088,1.0,0.09362642748574891
ENSG00000267397,0.2276743911078007,0.8221753588696769,1.0,0.06082153916280499
ENSG00000140577,0.9675448782899649,0.34410847255865407,1.0,0.04014855408424692
ENSG00000166140,-0.4721966040012202,0.642515150998189,1.0,-0.03130009694762465
ENSG00000267627,-0.6464045228876433,0.5260432526655471,1.0,-0.15687207977199083
ENSG00000101138,-1.0382620991467482,0.3114345175653538,1.0,-0.048368005736069
ENSG00000267651,1.1740612006568572,0.25914340681318276,1.0,0.3508426937369069
ENSG00000154645,-0.3731730684699504,0.7129317188059059,1.0,-0.07076821596255262
ENSG00000268566,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000267374,0.3080072502552222,0.7612676000700791,1.0,0.10032333787355042
ENSG00000235660,-0.777167854207261,0.44938559843857095,1.0,-0.19865883099316223
ENSG00000180305,-0.09290719031389578,0.927711971664225,1.0,-0.0302536340332921
ENSG00000244471,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000068793,-0.30394313307130155,0.7651535746115758,1.0,-0.017072449656580543
ENSG00000267413,0.9728835075272458,0.35359363992598436,1.0,0.26495171191978545
ENSG00000180083,0.21649280182286781,0.8310797534205709,1.0,0.04613887069082192
ENSG00000260926,0.8877781229621758,0.3852956984053916,1.0,0.19359391397341347
ENSG00000261715,2.0121349419718415,0.06252264407019165,1.0,0.4705319846130937
ENSG00000260814,0.6798048878808796,0.5038526507954213,1.0,0.15934097580369613
ENSG00000182931,-0.27226391864071303,0.788994638241769,1.0,-0.08086864770746513
ENSG00000267313,0.6643119292427558,0.5152094773128733,1.0,0.14270051523734714
ENSG00000154646,0.25645664830185383,0.8001413224187852,1.0,0.06866651188844176
ENSG00000168634,0.3543174621283673,0.7269439908524054,1.0,0.09233790372369315
ENSG00000260988,1.0954416466315422,0.28929152839493477,1.0,0.24455860178732186
ENSG00000149651,-0.4472135954999579,0.6636979556894129,1.0,-0.08246216019197299
ENSG00000267586,0.5501265742107184,0.5878132680144643,1.0,0.04020104677437876
ENSG00000101365,-0.530891517110013,0.6022779794990076,1.0,-0.029884071901102056
ENSG00000167216,1.3569171113373912,0.18894755402899804,1.0,0.16787100246285971
ENSG00000124116,0.24063683275553774,0.8128718599895361,1.0,0.030105589580018372
ENSG00000087589,-0.5493775504265213,0.5887886620310072,1.0,-0.07714621814853206
ENSG00000261517,0.5619121655187393,0.5807399868249847,1.0,0.12174945941175783
ENSG00000234787,0.6414157219216089,0.5287623346765111,1.0,0.09686174007131618
ENSG00000236532,0.5537713900216258,0.5865502788553978,1.0,0.04182804198255551
ENSG00000154654,0.30264239033124535,0.7656908738835839,1.0,0.10336939041988608
ENSG00000232855,-0.4849698798535484,0.6348076960673235,1.0,-0.12687773640703448
ENSG00000226935,0.0,1.0,1.0,0.0
ENSG00000259234,-1.00860506257912,0.32455637499375,1.0,-0.12903972096180105
ENSG00000166143,0.2643412766319806,0.795278194965892,1.0,0.05413430069176722
ENSG00000232954,0.9999999999999999,0.3331701359154764,1.0,0.13627035336031715
ENSG00000261712,-1.5275252316519468,0.17047066078705375,1.0,-0.3219280948873623
ENSG00000166262,-0.07373726341392609,0.9419502969953559,1.0,-0.005950427739167313
ENSG00000176136,0.3383841260962061,0.7385688292652297,1.0,0.07800251200127316
ENSG00000225249,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000185231,0.48027444658599977,0.6370092444707309,1.0,0.09962295967252364
ENSG00000233017,1.4228073589608383,0.1752559325617131,1.0,0.21606387213313435
ENSG00000103642,0.674616949258777,0.5111630763435449,1.0,0.07137530651973033
ENSG00000229578,-0.8440775943435691,0.4200353164499835,1.0,-0.23401925177312624
ENSG00000197299,1.0696466650956231,0.30211410301653957,1.0,0.215907154411612
ENSG00000227611,1.4638501094227998,0.16387561365565362,1.0,0.2607727876441351
ENSG00000229307,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000264490,1.5180554405752937,0.14418133525303242,1.0,0.3273656118222704
ENSG00000154719,0.06424047887333204,0.9494171283535842,1.0,0.0040660581389770755
ENSG00000267337,1.6635660365319354,0.11068387604126427,1.0,0.5217666546293335
ENSG00000228669,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000267414,1.5180554405752937,0.14418133525303242,1.0,0.3273656118222704
ENSG00000175322,-0.473066449589523,0.6409535845180168,1.0,-0.05293649656775077
ENSG00000237687,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000237378,-1.4768581586831844,0.17627085875633608,1.0,-0.5477303831441614
ENSG00000101160,-0.2100480820271614,0.8366221557327708,1.0,-0.020844530120899388
ENSG00000022277,-1.1301491532348586,0.27123581396926466,1.0,-0.036575224938933074
ENSG00000219926,1.4536714255898535,0.16663925215882397,1.0,0.4075591694370769
ENSG00000232118,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000228817,1.5116590565868582,0.14485376842452727,1.0,0.43174489095822033
ENSG00000166145,-0.15940120463310412,0.8752381495742702,1.0,-0.010118533302919657
ENSG00000227674,1.0628526871690342,0.30716966519320726,1.0,0.3165894265921299
ENSG00000259548,-0.4472135954999579,0.6636979556894129,1.0,-0.08246216019197299
ENSG00000125514,-0.4472135954999579,0.6636979556894129,1.0,-0.08246216019197299
ENSG00000261229,0.7000680032913196,0.4935048135994471,1.0,0.18440554600987194
ENSG00000231133,2.4227185592617446,0.028528068449741702,1.0,0.45943161863729726
ENSG00000259981,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000225978,0.024791088647848895,0.9806643333565167,1.0,0.007717334518203854
ENSG00000259967,0.16350126400384024,0.8718527325545082,1.0,0.04748971092867551
ENSG00000267167,0.37541922875025496,0.7124798269357924,1.0,0.12553088208385882
ENSG00000259417,0.23856006439350408,0.814126857669695,1.0,0.027215276920516344
ENSG00000234767,1.0,0.3331701359154763,1.0,0.21606387213313435
ENSG00000260416,2.1912466704075917,0.044634587218753984,1.0,0.44326765138931606
ENSG00000231977,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000088881,-0.24200566246846056,0.8112494781876153,1.0,-0.03600572701474341
ENSG00000259361,-0.42178988550372054,0.6782414714725845,1.0,-0.05729028215986376
ENSG00000230040,2.531621837807887,0.023020997330208428,1.0,0.4319546813132931
ENSG00000101162,-0.3165798945047916,0.75489961968851,1.0,-0.03556106838491251
ENSG00000140285,0.08009507304417898,0.9373077613079651,1.0,0.0163597085463672
ENSG00000183206,1.859062523114652,0.07857031403014487,1.0,0.29769900122604875
ENSG00000227388,0.9789559435751131,0.3449146189450544,1.0,0.1280116767993409
ENSG00000246283,0.8465553995208713,0.40890837513141653,1.0,0.38825922326059015
ENSG00000101457,-0.2056246782418023,0.8389845754277545,1.0,-0.01223510692366102
ENSG00000266996,1.099161806866507,0.283670773911277,1.0,0.18214932615696622
ENSG00000154721,0.6778399923035628,0.508242095128831,1.0,0.07530496882099626
ENSG00000235387,-0.7600575351160844,0.45950159554821957,1.0,-0.22663396747700634
ENSG00000196421,1.3172442926203738,0.20171668992355413,1.0,0.3006069831707814
ENSG00000124172,-0.4736479707232953,0.6415816523524771,1.0,-0.02073535839487907
ENSG00000234298,0.4748380376753261,0.6401297650861,1.0,0.10703016683628405
ENSG00000267761,0.5619121655187393,0.5807399868249847,1.0,0.12174945941175783
ENSG00000185088,-1.0123995226808873,0.32337675961386303,1.0,-0.03417514791905316
ENSG00000237534,0.3892494720807615,0.7022493210052566,1.0,0.07800251200127316
ENSG00000235221,0.32569592712530193,0.7486321241992933,1.0,0.10711867612972752
ENSG00000183791,-0.21201961504481986,0.8352057146954059,1.0,-0.04222616279829309
ENSG00000261307,2.531621837807887,0.023020997330208428,1.0,0.4319546813132931
ENSG00000224961,-0.32517715366993755,0.7504348733879506,1.0,-0.07400058144377693
ENSG00000234900,2.23606797749979,0.040968955955836175,1.0,0.32192809488736235
ENSG00000232900,1.1374535532229604,0.2677188935563715,1.0,0.27334264994700364
ENSG00000206181,1.4228073589608385,0.1752559325617129,1.0,0.21606387213313435
ENSG00000170122,-1.011179901267039,0.3251532994231383,1.0,-0.26466773508946967
ENSG00000230990,0.111826612124337,0.912048755261288,1.0,0.037577830035763156
ENSG00000226846,0.5696297858530677,0.5764482656845027,1.0,0.19513870095399344
ENSG00000260619,0.7128273021453345,0.4838858721853878,1.0,0.16420881298103035
ENSG00000232920,1.0172449670384514,0.3205365138144482,1.0,0.2340192517731262
ENSG00000260100,1.3172442926203738,0.20171668992355413,1.0,0.3006069831707814
ENSG00000261411,-0.09291519057299029,0.9268532907189877,1.0,-0.008950627610236541
ENSG00000228422,-0.10681493698633146,0.9163866304983856,1.0,-0.031052502968785638
ENSG00000233137,0.23341264469459652,0.8178140265233923,1.0,0.017354011194743293
ENSG00000166128,-0.4738158706303021,0.6404165896275592,1.0,-0.030570657339402837
ENSG00000235292,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000175063,-0.5644335387425699,0.5794708854474933,1.0,-0.07357265940742987
ENSG00000233048,0.6999919764881913,0.4917109742486723,1.0,0.1402480303921872
ENSG00000124091,1.2531277306440327,0.23749527318658895,1.0,0.37200145298101106
ENSG00000234265,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000101166,-0.11979997533339268,0.9057840208206961,1.0,-0.006920086703864354
ENSG00000224648,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000167220,-0.34781372877380246,0.7313009761887287,1.0,-0.018147013590180366
ENSG00000224853,1.4638501094227998,0.16387561365565362,1.0,0.16992500144231237
ENSG00000154723,-0.30551389903161114,0.7630714483487819,1.0,-0.01483348204700615
ENSG00000228295,1.4228073589608385,0.1752559325617129,1.0,0.21606387213313435
ENSG00000235532,0.9087002175451987,0.373487776094532,1.0,0.32963500832043974
ENSG00000171448,0.39602090510579413,0.6966515772562435,1.0,0.054680092359151396
ENSG00000124103,-1.5739177785262437,0.1302246161007187,1.0,-0.3424736202449104
ENSG00000104047,0.3679209469570078,0.7176485807491246,1.0,0.047195632002799755
ENSG00000259543,2.2353105871826293,0.04102849628485379,1.0,0.3182156573164598
ENSG00000259594,0.07718328436639187,0.9394687235063615,1.0,0.028123688863595227
ENSG00000088882,-0.2962548721014473,0.7701558937581535,1.0,-0.07777021597241357
ENSG00000259610,-1.1461272097950144,0.28421864586217854,1.0,-0.3164814119650992
ENSG00000236678,-1.0,0.3506166628202075,1.0,-0.16992500144231243
ENSG00000213714,-1.0108826388429246,0.3250945389322881,1.0,-0.2374427047275757
ENSG00000259692,0.6758338723645739,0.5069932260201244,1.0,0.14476816804685394
ENSG00000259445,-0.20908221851132283,0.8365918809574122,1.0,-0.04055499923464297
ENSG00000104140,-0.23876980046052695,0.8141859290321785,1.0,-0.03402888389579146
ENSG00000223880,1.8605210188381267,0.08253070634696223,1.0,0.2479275134435855
ENSG00000140564,-0.05987378861664295,0.9529213341193704,1.0,-0.0035526586672720395
